Item,Cost (Low),Cost (High),Cost(Mid),Unit,Qty,Markup Percentage,Cost Code,Category,ID,OriginalUnit,SearchItem,Keywords,Subcategory,Phase,EstimatorModule,QualityTier,ConstructionTier
Demo Slate Tile,3,3,3,SF,,70,2220,Demo,de10,Sq Ft,demo slate tile,demo slate tile,General,Other,,Economy,Premium
Demo Travertine,2,2,2,SF,,70,2220,Demo,de11,Sq Ft,demo travertine,demo travertine,General,Other,,Economy,Premium
Demo Flagstone,2,2,2,SF,,70,2220,Demo,de12,Sq Ft,demo flagstone,demo flagstone,General,Other,,Economy,Premium
Demo Carpet,1,1,1,SF,,70,2220,Demo,de13,Sq Ft,demo carpet,carpet demo,General,Other,,Economy,Premium
Demo Saltillo Tile,4,4,4,SF,,70,2220,Demo,de14,Sq Ft,demo saltillo tile,demo saltillo tile,General,Other,,Standard,Luxury
Demo Laminate Wood,1,1,1,SF,,70,2220,Demo,de15,Sq Ft,demo laminate wood,demo laminate wood,General,Other,,Economy,Premium
Demo Glue Down Wood,5,5,5,SF,,70,2220,Demo,de16,Sq Ft,demo glue down wood,demo down glue wood,General,Other,,Standard,Luxury
Demo Wood with Subfloor,3.5,3.5,3.5,SF,,70,2220,Demo,de17,Sq Ft,demo wood with subfloor,demo subfloor wood,General,Other,,Standard,Luxury
Demo Full Kitchen (Tract),600,1200,900,WHOLE HOUSE,,70,2220,Demo,de18,Whole House,demo full kitchen tract,demo full kitchen tract,General,Other,,Premium,Ultra-Luxury
Demo Full Kitchen (Custom),1500,2500,2000,WHOLE HOUSE,,70,2220,Demo,de19,Whole House,demo full kitchen custom,custom demo full kitchen,General,Other,,Premium,Ultra-Luxury
Bathrooms,0,0,0,EA,,70,2220,Demo,de20,EA,bathrooms,bathrooms,General,Other,,Standard,Luxury
Demo Toilet(s),75,75,75,EA,,70,2220,Demo,de21,Each,demo toilet s,demo toilet,General,Other,,Standard,Luxury
Demo Sink(s),50,50,50,EA,,70,2220,Demo,de22,Each,demo sink s,demo sink,General,Other,,Standard,Luxury
Demo Vanity(ies),100,100,100,EA,,70,2220,Demo,de23,Each,demo vanity ies,demo ies vanity,General,Other,,Premium,Ultra-Luxury
Demo Full Master Bathroom (Small),800,1200,1000,WHOLE HOUSE,,70,2220,Demo,de24,Whole House,demo full master bathroom small,bathroom demo full master small,General,Other,,Premium,Ultra-Luxury
Demo Full Master Bathroom (Custom),1500,3000,2250,WHOLE HOUSE,,70,2220,Demo,de25,Whole House,demo full master bathroom custom,bathroom custom demo full master,General,Other,,Premium,Ultra-Luxury
Demo Platform Tub/Surround,800,800,800,EA,,70,2220,Demo,de26,Each,demo platform tub surround,demo platform surround tub,General,Other,,Premium,Ultra-Luxury
Demo Powder Bath,250,400,325,EA,,70,2220,Demo,de27,Each,demo powder bath,bath demo powder,General,Other,,Premium,Ultra-Luxury
Demo Secondary Bath,600,800,700,EA,,70,2220,Demo,de28,Each,demo secondary bath,bath demo secondary,General,Other,,Premium,Ultra-Luxury
"Demo Accessories (Mirrors, Lights, Etc.)",100,100,100,EA,,70,2220,Demo,de29,Each,demo accessories mirrors lights etc,accessories demo etc lights mirrors,General,Other,,Premium,Ultra-Luxury
Demo Drywall Lid and Insulation,5,5,5,SF,,70,2220,Demo,de30,Sq Ft,demo drywall lid and insulation,demo drywall insulation lid,General,Other,,Standard,Luxury
Demo Drywall Lid Commercial,2,2,2,SF,,70,2220,Demo,de31,Sq Ft,demo drywall lid commercial,commercial demo drywall lid,General,Other,,Economy,Premium
Demo Grid Celing with Duct and Lighting,1,1,1,SF,,70,2220,Demo,de32,Sq Ft,demo grid celing with duct and lighting,celing demo duct grid lighting,General,Other,,Economy,Premium
Demo Popcorn Ceiling,2,2,2,SF,,70,2220,Demo,de33,Sq Ft,demo popcorn ceiling,ceiling demo popcorn,General,Other,,Economy,Premium
Demo Soffits,5,12,8.5,LF,,70,2220,Demo,de34,LF,demo soffits,demo soffits,General,Other,,Standard,Luxury
Demo Hanging Lights/Fans,25,25,25,EA,,70,2220,Demo,de35,Each,demo hanging lights fans,demo fans hanging lights,General,Other,,Standard,Luxury
Demo Concrete Pad,3,6,4.5,SF,,70,2220,Demo,de36,Sq Ft,demo concrete pad,concrete demo pad,General,Other,,Standard,Luxury
Saw Cut Concrete (Add $100 for Blade),5,5,5,LF,,70,2220,Demo,de37,LF,saw cut concrete add 100 for blade,100 add blade concrete cut saw,General,Other,,Standard,Luxury
Masonry 8x8x16 CMU Material,2.5,8.5,5.5,SF,,70,4200,Concrete/Masonry,cm1,Sq Ft,masonry 8x8x16 cmu material,8x8x16 cmu masonry material,General,Structure,foundation,Economy,Premium
Masonry 8x8x16 CMU Installation,7.5,15,11.25,SF,,70,4200,Concrete/Masonry,cm2,Sq Ft,masonry 8x8x16 cmu installation,8x8x16 cmu installation masonry,General,Structure,foundation,Standard,Luxury
"Masonry Additional Materials (grout, mortar, rebar, wire)",7.75,12.75,10.25,SF,,70,4200,Concrete/Masonry,cm3,Sq Ft,masonry additional materials grout mortar rebar wire,additional grout masonry materials mortar rebar wire,General,Structure,foundation,Economy,Premium
Scaffold (walls above 6'),3.4,5.4,4.4,SF,,70,1542,Concrete/Masonry,cm4,Sq Ft,scaffold walls above 6,above scaffold walls,Walls,Structure,foundation,Economy,Premium
Iron (Lintils),18,21,19.5,LF,,70,4200,Concrete/Masonry,cm5,LF,iron lintils,iron lintils,General,Structure,foundation,Standard,Luxury
CMU Non-Structural (>10' H),17.75,20,18.88,SF,,70,4200,Concrete/Masonry,cm6,Sq Ft,cmu non structural 10 h,cmu non structural,General,Structure,foundation,Standard,Luxury
CMU Non-Structural (<10' H),20,25,22.5,SF,,70,4200,Concrete/Masonry,cm7,Sq Ft,cmu non structural 10 h,cmu non structural,General,Structure,foundation,Standard,Luxury
CMU Structural,25,40,32.5,SF,,70,4200,Concrete/Masonry,cm8,Sq Ft,cmu structural,cmu structural,General,Structure,foundation,Premium,Ultra-Luxury
"Equipment (Forkilfts, Booms, Etc.)",2500,35000,18750,EA,,70,4200,Concrete/Masonry,cm9,Each,equipment forkilfts booms etc,booms equipment etc forkilfts,General,Structure,foundation,Premium,Ultra-Luxury
"Concrete Footers 18""",32,32,32,LF,,70,3300,Concrete/Masonry,cm10,LF,concrete footers 18,concrete footers,Footings,Structure,foundation,Premium,Ultra-Luxury
"Concrete Footers 24""",38,38,38,LF,,70,3300,Concrete/Masonry,cm11,LF,concrete footers 24,concrete footers,Footings,Structure,foundation,Premium,Ultra-Luxury
Concrete Pier Footing(s) 3' x 3',400,400,400,EA,,70,3300,Concrete/Masonry,cm12,Each,concrete pier footing s 3 x 3,concrete footing pier,Footings,Structure,foundation,Premium,Ultra-Luxury
"Concrete 4"" Slab (Minimum $1150)",8,10,9,SF,,70,3320,Concrete/Masonry,cm13,Sq Ft,concrete 4 slab minimum 1150,1150 concrete minimum slab,Slab,Structure,foundation,Economy,Premium
"Concrete 6"" Slab (Minimum $1150)",10,12,11,SF,,70,3320,Concrete/Masonry,cm14,Sq Ft,concrete 6 slab minimum 1150,1150 concrete minimum slab,Slab,Structure,foundation,Economy,Premium
Stone Veneer Materials and Install,25,25,25,SF,,70,4700,Concrete/Masonry,cm15,Sq Ft,stone veneer materials and install,install materials stone veneer,General,Structure,foundation,Standard,Luxury
Framing of Liveable Space,40,55,47.5,SF,,70,6100,Framing,fr1,Sq Ft,framing of liveable space,framing liveable space,General,Structure,structural,Premium,Ultra-Luxury
Framing of Garage Space,25,30,27.5,SF,,70,6100,Framing,fr2,Sq Ft,framing of garage space,framing garage space,General,Structure,structural,Standard,Luxury
Framing of Patio,15,25,20,SF,,70,6100,Framing,fr3,Sq Ft,framing of patio,framing patio,General,Structure,structural,Economy,Premium
Electrical Remove and Replace (Outlets),45,55,50,EA,,70,16100,Electrical,el1,Each,electrical remove and replace outlets,electrical outlets remove replace,Outlets,MEP,electrical,Economy,Premium
Electrical Remove and Replace (Can Lights),75,150,112.5,EA,,70,16100,Electrical,el2,Each,electrical remove and replace can lights,can electrical lights remove replace,General,MEP,electrical,Economy,Premium
Electrical Remove and Replace (Switches),30,45,37.5,EA,,70,16100,Electrical,el3,Each,electrical remove and replace switches,electrical remove replace switches,Switches,MEP,electrical,Economy,Premium
Electrical Remove and Replace (Ceiling Fans),125,250,187.5,EA,,70,16100,Electrical,el4,Each,electrical remove and replace ceiling fans,ceiling electrical fans remove replace,General,MEP,electrical,Standard,Luxury
Electrical Remove and Replace (Fixtures),125,350,237.5,EA,,70,16100,Electrical,el5,Each,electrical remove and replace fixtures,electrical fixtures remove replace,General,MEP,electrical,Standard,Luxury
Electrical GFCI/USB Outlet,70,125,97.5,EA,,70,16100,Electrical,el6,Each,electrical gfci usb outlet,electrical gfci outlet usb,Outlets,MEP,electrical,Economy,Premium
Electrical New (Outlets 120),65,135,100,EA,,70,16100,Electrical,el7,Each,electrical new outlets 120,120 electrical new outlets,Outlets,MEP,electrical,Economy,Premium
Electrical New (Outlets 240),100,150,125,EA,,70,16100,Electrical,el8,Each,electrical new outlets 240,240 electrical new outlets,Outlets,MEP,electrical,Standard,Luxury
Electrical New (Can Lights),100,200,150,EA,,70,16100,Electrical,el9,Each,electrical new can lights,can electrical lights new,General,MEP,electrical,Standard,Luxury
Electrical New (Switch Leg),100,200,150,EA,,70,16100,Electrical,el10,Each,electrical new switch leg,electrical leg new switch,Switches,MEP,electrical,Standard,Luxury
Electrical Tape Light,55,65,60,LF,,70,16100,Electrical,el11,LF,electrical tape light,electrical light tape,General,MEP,electrical,Economy,Premium
Electrical Tape Light Driver,150,250,200,EA,,70,16100,Electrical,el12,Each,electrical tape light driver,driver electrical light tape,General,MEP,electrical,Standard,Luxury
Electrical Install New Fixtures,250,350,300,EA,,70,16100,Electrical,el13,Each,electrical install new fixtures,electrical fixtures install new,General,MEP,electrical,Standard,Luxury
Electrical New 200 Amp Service,4000,6000,5000,EA,,70,16100,Electrical,el14,Each,electrical new 200 amp service,200 amp electrical new service,General,MEP,electrical,Premium,Ultra-Luxury
Electrical New 400 Amp Service,6000,7000,6500,EA,,70,16100,Electrical,el15,Each,electrical new 400 amp service,400 amp electrical new service,General,MEP,electrical,Premium,Ultra-Luxury
Electrical New 600 Amp Service,10000,12000,11000,EA,,70,16100,Electrical,el16,Each,electrical new 600 amp service,600 amp electrical new service,General,MEP,electrical,Premium,Ultra-Luxury
Electrical New 125 Amp Sub-Panel,1800,2500,2150,EA,,70,16100,Electrical,el17,Each,electrical new 125 amp sub panel,125 amp electrical new panel sub,Panels,MEP,electrical,Premium,Ultra-Luxury
Electrical New 200 Amp Sub-Panel,2400,3200,2800,EA,,70,16100,Electrical,el18,Each,electrical new 200 amp sub panel,200 amp electrical new panel sub,Panels,MEP,electrical,Premium,Ultra-Luxury
Electrical New Dedicated Circuit 240,195,750,472.5,EA,,70,16100,Electrical,el19,Each,electrical new dedicated circuit 240,240 circuit dedicated electrical new,General,MEP,electrical,Premium,Ultra-Luxury
Electrical New Dedicated Circuit 120,150,650,400,EA,,70,16100,Electrical,el20,Each,electrical new dedicated circuit 120,120 circuit dedicated electrical new,General,MEP,electrical,Standard,Luxury
Electrical Full House Surge Protection,400,400,400,EA,,70,16100,Electrical,el21,Each,electrical full house surge protection,electrical full house protection surge,General,MEP,electrical,Standard,Luxury
Electrical New Underground Conduit,10,40,25,LF,,70,16100,Electrical,el22,LF,electrical new underground conduit,conduit electrical new underground,General,MEP,electrical,Economy,Premium
Plumbing Shower Valve(s) (Rough-in),400,650,525,EA,,70,15100,Plumbing,pl1,Each,plumbing shower valve s rough in,plumbing rough shower valve,General,MEP,plumbing,Standard,Luxury
Plumbing Shower Valve(s) W/ Diverter (Rough-in),500,750,625,EA,,70,15100,Plumbing,pl2,Each,plumbing shower valve s w diverter rough in,diverter plumbing rough shower valve,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Sink(s) (Rough-in),350,750,550,EA,,70,15100,Plumbing,pl3,Each,plumbing sink s rough in,plumbing rough sink,General,MEP,plumbing,Standard,Luxury
Plumbing Bathtub(s) (Rough-in),450,1200,825,EA,,70,15100,Plumbing,pl4,Each,plumbing bathtub s rough in,bathtub plumbing rough,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Tub Filler(s) (Floor Mounted) (Rough-in),650,1000,825,EA,,70,15100,Plumbing,pl5,Each,plumbing tub filler s floor mounted rough in,filler floor mounted plumbing rough tub,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Tub Filler(s) (Wall Mounted) (Rough-in),350,950,650,EA,,70,15100,Plumbing,pl6,Each,plumbing tub filler s wall mounted rough in,filler mounted plumbing rough tub wall,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Tub Filler(s) (Deck Mounted) (Rough-in),650,1200,925,EA,,70,15100,Plumbing,pl7,Each,plumbing tub filler s deck mounted rough in,deck filler mounted plumbing rough tub,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Convert Water Heater to Tankless (Rough-in),450,2000,1225,EA,,70,15100,Plumbing,pl8,Each,plumbing convert water heater to tankless rough in,convert heater plumbing rough tankless water,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Move Shower/Tub Drain Location (Rough-in),550,1500,1025,EA,,70,15100,Plumbing,pl9,Each,plumbing move shower tub drain location rough in,drain location move plumbing rough shower tub,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Tie into Existing Drain for New Location (Rough-in),150,250,200,LF,,70,15100,Plumbing,pl10,LF,plumbing tie into existing drain for new location rough in,drain existing into location new plumbing rough tie,General,MEP,plumbing,Economy,Premium
Plumbing Run Hot/Cold Water to New Location (Underground)(Rough-in),75,200,137.5,LF,,70,15100,Plumbing,pl11,LF,plumbing run hot cold water to new location underground rough in,cold hot location new plumbing rough run underground water,General,MEP,plumbing,Economy,Premium
Plumbing Run Hot/Cold Water to New Location (Overhead) (Rough-in),25,50,37.5,LF,,70,15100,Plumbing,pl12,LF,plumbing run hot cold water to new location overhead rough in,cold hot location new overhead plumbing rough run water,General,MEP,plumbing,Economy,Premium
Plumbing Run Line from Meter to New Water Shutoff (Rough-in),100,300,200,LF,,70,15100,Plumbing,pl13,LF,plumbing run line from meter to new water shutoff rough in,from line meter new plumbing rough run shutoff water,General,MEP,plumbing,Economy,Premium
Plumbing Run Gas Line From Meter (Underground) (Rough-in),200,500,350,LF,,70,15100,Plumbing,pl14,LF,plumbing run gas line from meter underground rough in,from gas line meter plumbing rough run underground,General,MEP,plumbing,Standard,Luxury
Plumbing Run Gas Line From Meter (Overhead) (Rough-in),100,400,250,LF,,70,15100,Plumbing,pl15,LF,plumbing run gas line from meter overhead rough in,from gas line meter overhead plumbing rough run,General,MEP,plumbing,Standard,Luxury
Plumbing Pot Filler (Rough-in),250,400,325,EA,,70,15100,Plumbing,pl16,Each,plumbing pot filler rough in,filler plumbing pot rough,General,MEP,plumbing,Standard,Luxury
Plumbing Shower (Trim),89,125,107,EA,,70,15400,Plumbing,pl17,Each,plumbing shower trim,plumbing shower trim,General,MEP,plumbing,Economy,Premium
Plumbing Shower w/ Handheld (Trim),125,325,225,EA,,70,15400,Plumbing,pl18,Each,plumbing shower w handheld trim,handheld plumbing shower trim,General,MEP,plumbing,Economy,Premium
Plumbing Tub Filler (Trim),125,650,387.5,EA,,70,15400,Plumbing,pl19,Each,plumbing tub filler trim,filler plumbing trim tub,General,MEP,plumbing,Standard,Luxury
Plumbing New Water Heater (Electric),1500,4000,2750,EA,,70,15400,Plumbing,pl20,Each,plumbing new water heater electric,electric heater new plumbing water,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing New Water Heater (Tankless),4000,10000,7000,EA,,70,15400,Plumbing,pl21,Each,plumbing new water heater tankless,heater new plumbing tankless water,General,MEP,plumbing,Premium,Ultra-Luxury
Plumbing Toilet (Trim),125,450,287.5,EA,,70,15400,Plumbing,pl22,Each,plumbing toilet trim,plumbing toilet trim,General,MEP,plumbing,Standard,Luxury
Plumbing Vanity Sink/Faucet (Trim),125,250,187.5,EA,,70,15400,Plumbing,pl23,Each,plumbing vanity sink faucet trim,faucet plumbing sink trim vanity,General,MEP,plumbing,Economy,Premium
Plumbing Kitchen Faucet (Trim),125,250,187.5,EA,,70,15400,Plumbing,pl24,Each,plumbing kitchen faucet trim,faucet kitchen plumbing trim,General,MEP,plumbing,Economy,Premium
Plumbing Kitchen RO (Trim),250,500,375,EA,,70,15400,Plumbing,pl25,Each,plumbing kitchen ro trim,kitchen plumbing trim,General,MEP,plumbing,Standard,Luxury
Plumbing Kitchen Pot Filler (Trim),125,250,187.5,EA,,70,15400,Plumbing,pl26,Each,plumbing kitchen pot filler trim,filler kitchen plumbing pot trim,General,MEP,plumbing,Economy,Premium
Plumbing Connect Heat Pump (Furnace) (Trim),125,400,262.5,EA,,70,15400,Plumbing,pl27,Each,plumbing connect heat pump furnace trim,connect furnace heat plumbing pump trim,General,MEP,plumbing,Standard,Luxury
Plumbing Connect Fire Pit/BBQ/Fireplace (Trim),125,500,312.5,EA,,70,15400,Plumbing,pl28,Each,plumbing connect fire pit bbq fireplace trim,bbq connect fire fireplace pit plumbing trim,General,MEP,plumbing,Standard,Luxury
Industrial Sprinkler Drops,1200,1700,0,EA,,70,7800,Fire Protection,fs1,Each,industrial sprinkler drops,drops industrial sprinkler,General,Other,,Standard,Luxury
Regualr Drops,280,320,0,EA,,70,7800,Fire Protection,fs2,Each,regualr drops,drops regualr,General,Other,,Standard,Luxury
HVAC New 2 Ton Package Unit,7800,10500,9150,EA,,70,15700,Hvac,me1,Each,hvac new 2 ton package unit,hvac new package ton unit,General,Other,hvac,Standard,Luxury
HVAC New 3 Ton Package Unit,8800,11800,10300,EA,,70,15700,Hvac,me2,Each,hvac new 3 ton package unit,hvac new package ton unit,General,Other,hvac,Premium,Ultra-Luxury
HVAC New 4 Ton Package Unit,9500,12000,10750,EA,,70,15700,Hvac,me3,Each,hvac new 4 ton package unit,hvac new package ton unit,General,Other,hvac,Premium,Ultra-Luxury
HVAC New 5 Ton Package Unit,9885,13500,11692.5,EA,,70,15700,Hvac,me4,Each,hvac new 5 ton package unit,hvac new package ton unit,General,Other,hvac,Premium,Ultra-Luxury
HVAC New Mini-Split,3500,6500,5000,EA,,70,15700,Hvac,me5,Each,hvac new mini split,hvac mini new split,General,Other,hvac,Standard,Luxury
HVAC Thermostats,150,650,400,EA,,70,15700,Hvac,me6,Each,hvac thermostats,hvac thermostats,General,Other,hvac,Economy,Premium
HVAC Flex Duct,0,0,0,LF ,,70,15700,Hvac,me7,LF ,hvac flex duct,duct flex hvac,General,Other,hvac,Standard,Luxury
HVAC Hard Duct,0,0,0,LF ,,70,15700,Hvac,me8,LF ,hvac hard duct,duct hard hvac,General,Other,hvac,Standard,Luxury
HVAC Registers,170,210,190,EACH ,,70,15700,Hvac,me9,Each ,hvac registers,hvac registers,General,Other,hvac,Economy,Premium
HVAC Returns,170,210,190,EACH ,,70,15700,Hvac,me10,Each ,hvac returns,hvac returns,General,Other,hvac,Economy,Premium
HVAC Exhaust Fans,355,545,450,EACH ,,70,15700,Hvac,me11,Each ,hvac exhaust fans,exhaust fans hvac,General,Other,hvac,Standard,Luxury
HVAC Range Hood Exhaust ,360,540,450,EACH ,,70,15700,Hvac,me12,Each ,hvac range hood exhaust,exhaust hood hvac range,General,Other,hvac,Standard,Luxury
Drywall Allowance,0,0,0,EA,,70,9250,Drywall,dr1,Each,drywall allowance,allowance drywall,General,Interior,drywall_interior,Standard,Luxury
Drywall Patching,100,100,100,EA,,70,9250,Drywall,dr2,Each,drywall patching,drywall patching,General,Interior,drywall_interior,Economy,Premium
"Drwyall New 4x12x1/2"" sheetrock",100,150,125,EA,,70,9250,Drywall,dr3,Each,drwyall new 4x12x1 2 sheetrock,4x12x1 drwyall new sheetrock,General,Interior,drywall_interior,Premium,Ultra-Luxury
Roofing Recoat Flat Roof,1.1,3.5,2.3,SF,,70,7400,Roofing,ro1,Sq Ft,roofing recoat flat roof,flat recoat roof roofing,General,Envelope,roofing,Economy,Premium
Roofing Repair Flat Roof,1800,2500,2150,SF,,70,7400,Roofing,ro2,Sq Ft,roofing repair flat roof,flat repair roof roofing,General,Envelope,roofing,Premium,Ultra-Luxury
Roofing Tear Off and Replace Flat Roof,4.8,6.5,5.65,SF,,70,7400,Roofing,ro3,Sq Ft,roofing tear off and replace flat roof,flat off replace roof roofing tear,General,Envelope,roofing,Standard,Luxury
Roofing New Flat Roof,4.5,6.2,5.35,SF,,70,7400,Roofing,ro4,Sq Ft,roofing new flat roof,flat new roof roofing,General,Envelope,roofing,Standard,Luxury
Roofing Repair/Replace Asphalt Shingle Roofing,500,1500,1000,SF,,70,7400,Roofing,ro5,Sq Ft,roofing repair replace asphalt shingle roofing,asphalt repair replace roofing shingle,General,Envelope,roofing,Premium,Ultra-Luxury
Roofing Tear Off and Replace Asphalt Shingle Roofing,4.2,5.5,4.85,SF,,70,7400,Roofing,ro6,Sq Ft,roofing tear off and replace asphalt shingle roofing,asphalt off replace roofing shingle tear,General,Envelope,roofing,Economy,Premium
Roofing New Asphalt Shingle Roofing,3.9,5.2,4.55,SF,,70,7400,Roofing,ro7,Sq Ft,roofing new asphalt shingle roofing,asphalt new roofing shingle,General,Envelope,roofing,Economy,Premium
Roofing Repair/Replace Sandcast Roofing,500,1500,1000,SF,,70,7400,Roofing,ro8,Sq Ft,roofing repair replace sandcast roofing,repair replace roofing sandcast,General,Envelope,roofing,Premium,Ultra-Luxury
Roofing Tear Off and Replace Sandcast Tile Roofing,9.5,12.5,11,SF,,70,7400,Roofing,ro9,Sq Ft,roofing tear off and replace sandcast tile roofing,off replace roofing sandcast tear tile,General,Envelope,roofing,Standard,Luxury
Roofing New Sandcast Tile Roofing,9,12,10.5,SF,,70,7400,Roofing,ro10,Sq Ft,roofing new sandcast tile roofing,new roofing sandcast tile,General,Envelope,roofing,Standard,Luxury
Roofing Repair/Replace Concrete Tile Roofing,500,1500,1000,SF,,70,7400,Roofing,ro11,Sq Ft,roofing repair replace concrete tile roofing,concrete repair replace roofing tile,General,Envelope,roofing,Premium,Ultra-Luxury
Roofing Tear Off and Replace Concrete Tile Roofing,3.6,5.4,4.5,SF,,70,7400,Roofing,ro12,Sq Ft,roofing tear off and replace concrete tile roofing,concrete off replace roofing tear tile,General,Envelope,roofing,Economy,Premium
Roofing New Concrete Tile Roofing,3.2,5,4.1,SF,,70,7400,Roofing,ro13,Sq Ft,roofing new concrete tile roofing,concrete new roofing tile,General,Envelope,roofing,Economy,Premium
Roofing New Corrugated Roofing,9,14,11.5,SF,,70,7400,Roofing,ro14,Sq Ft,roofing new corrugated roofing,corrugated new roofing,General,Envelope,roofing,Standard,Luxury
Roofing New Standing Seam Roofing,10,15,12.5,SF,,70,7400,Roofing,ro15,Sq Ft,roofing new standing seam roofing,new roofing seam standing,General,Envelope,roofing,Premium,Ultra-Luxury
Stucco Smooth Synthetic Whole House/Addition,6.25,7,6.63,SF,,70,9240,Stucco,st1,Sq Ft,stucco smooth synthetic whole house addition,addition house smooth stucco synthetic whole,General,Other,,Economy,Premium
Stucco Smooth Synthetic Patches Around Windows,1160,1700,1430,EA,,70,9240,Stucco,st2,Each,stucco smooth synthetic patches around windows,around patches smooth stucco synthetic windows,General,Other,,Standard,Luxury
Stucco Smooth Synthetic Patches around Sliding Doors,2150,3000,2575,EA,,70,9240,Stucco,st3,Each,stucco smooth synthetic patches around sliding doors,around doors patches sliding smooth stucco synthetic,General,Other,,Premium,Ultra-Luxury
Stucco Smooth Sand Whole House/Addition,4,4.5,4.25,SF,,70,9240,Stucco,st4,Sq Ft,stucco smooth sand whole house addition,addition house sand smooth stucco whole,General,Other,,Economy,Premium
Stucco Smooth Sand Patches around Windows,620,1000,810,EA,,70,9240,Stucco,st5,Each,stucco smooth sand patches around windows,around patches sand smooth stucco windows,General,Other,,Standard,Luxury
Stucco Smooth Sand Patches around Sliding Doors,1160,2000,1580,EA,,70,9240,Stucco,st6,Each,stucco smooth sand patches around sliding doors,around doors patches sand sliding smooth stucco,General,Other,,Premium,Ultra-Luxury
Stucco Cat Eye Whole House/Addition,4.5,4.75,4.63,SF,,70,9240,Stucco,st7,Sq Ft,stucco cat eye whole house addition,addition cat eye house stucco whole,General,Other,,Economy,Premium
Stucco Cat Eye Patches around Windows,720,1250,985,EA,,70,9240,Stucco,st8,Each,stucco cat eye patches around windows,around cat eye patches stucco windows,General,Other,,Standard,Luxury
